time,address,binaryaddress,bank,row,column,delay,command
13565000, 105280960, 00000110010001100111010111000000, 0, 12851, 696, 43750, R
13570000, 105281024, 00000110010001100111011000000000, 0, 12851, 704, 43750, R
13575000, 105281088, 00000110010001100111011001000000, 0, 12851, 712, 43750, R
13580000, 105281152, 00000110010001100111011010000000, 0, 12851, 720, 43750, R
13585000, 105281216, 00000110010001100111011011000000, 0, 12851, 728, 43750, R
13590000, 105281280, 00000110010001100111011100000000, 0, 12851, 736, 43750, R
13595000, 105281344, 00000110010001100111011101000000, 0, 12851, 744, 43750, R
13600000, 105281408, 00000110010001100111011110000000, 0, 12851, 752, 43750, R
13605000, 105281472, 00000110010001100111011111000000, 0, 12851, 760, 43750, R
13610000, 105281536, 00000110010001100111100000000000, 0, 12851, 768, 43750, R
13615000, 105281600, 00000110010001100111100001000000, 0, 12851, 776, 43750, R
13620000, 105281664, 00000110010001100111100010000000, 0, 12851, 784, 43750, R
13625000, 105281728, 00000110010001100111100011000000, 0, 12851, 792, 43750, R
13630000, 105281792, 00000110010001100111100100000000, 0, 12851, 800, 43750, R
13635000, 105278272, 00000110010001100110101101000000, 0, 12851, 360, 43750, R
13640000, 102434560, 00000110000110110000011100000000, 0, 12504, 224, 71250, R
13645000, 36062336, 00000010001001100100010010000000, 0, 4402, 144, 113750, R
13650000, 64563200, 00000011110110010010100000000000, 0, 7881, 256, 156250, R
13655000, 20648320, 00000001001110110001000110000000, 0, 2520, 560, 198750, R
13660000, 98080064, 00000101110110001001010101000000, 0, 11972, 680, 241250, R
13665000, 35858560, 00000010001000110010100010000000, 0, 4377, 272, 283750, R
13670000, 95312576, 00000101101011100101101011000000, 0, 11634, 856, 326250, R
13675000, 88738112, 00000101010010100000100101000000, 0, 10832, 296, 368750, R
13680000, 113293568, 00000110110000001011100100000000, 0, 13829, 800, 411250, R
13712500, 87772928, 00000101001110110100111100000000, 0, 10714, 480, 426250, R
13760000, 22729024, 00000001010110101101000101000000, 0, 2774, 552, 426250, R
13807500, 2006272, 00000000000111101001110100000000, 0, 244, 928, 426250, R
13855000, 77960960, 00000100101001011001011100000000, 0, 9516, 736, 426250, R
13902500, 73093376, 00000100010110110101000100000000, 0, 8922, 544, 426250, R
13950000, 25293056, 00000001100000011111000100000000, 0, 3087, 544, 426250, R
13997500, 71798464, 00000100010001111000111011000000, 0, 8764, 472, 426250, R
14045000, 117650240, 00000111000000110011001101000000, 0, 14361, 616, 426250, R
14092500, 70749440, 00000100001101111000110100000000, 0, 8636, 416, 426250, R
14140000, 18692864, 00000001000111010011101100000000, 0, 2281, 864, 426250, R
14187500, 130773120, 00000111110010110111000010000000, 0, 15963, 528, 426250, R
14235000, 28186112, 00000001101011100001011000000000, 0, 3440, 704, 426250, R
14282500, 123391296, 00000111010110101100110101000000, 0, 15062, 424, 426250, R
14330000, 58440832, 00000011011110111011110010000000, 0, 7133, 912, 426250, R
14377500, 90531072, 00000101011001010110010100000000, 0, 11051, 160, 426250, R
14425000, 104248384, 00000110001101101011010001000000, 0, 12725, 648, 426250, R
14472500, 70078272, 00000100001011010100111101000000, 0, 8554, 488, 426250, R
14520000, 128615040, 00000111101010101000001010000000, 0, 15700, 80, 426250, R
14567500, 17299328, 00000001000001111111011110000000, 0, 2111, 752, 426250, R
14615000, 88000000, 00000101001111101100011000000000, 0, 10742, 192, 426250, R
14662500, 72035200, 00000100010010110010101110000000, 0, 8793, 368, 426250, R
14710000, 121297152, 00000111001110101101100100000000, 0, 14806, 800, 426250, R
14757500, 43987392, 00000010100111110011000111000000, 0, 5369, 568, 426250, R
14805000, 117250048, 00000110111111010001100000000000, 0, 14312, 768, 426250, R
14852500, 85360512, 00000101000101100111111110000000, 0, 10419, 1008, 426250, R
14900000, 26937216, 00000001100110110000011110000000, 0, 3288, 240, 426250, R
14947500, 108905472, 00000110011111011100010000000000, 0, 13294, 128, 426250, R
14995000, 75979200, 00000100100001110101100111000000, 0, 9274, 824, 426250, R
15042500, 113908992, 00000110110010100001110100000000, 0, 13904, 928, 426250, R
15090000, 38456256, 00000010010010101100101111000000, 0, 4694, 376, 426250, R
15137500, 10209664, 00000000100110111100100110000000, 0, 1246, 304, 426250, R
15185000, 105515072, 00000110010010100000100001000000, 0, 12880, 264, 426250, R
15232500, 75440576, 00000100011111110010000111000000, 0, 9209, 56, 426250, R
15280000, 96989632, 00000101110001111111000111000000, 0, 11839, 568, 426250, R
15327500, 120760320, 00000111001100101010100000000000, 0, 14741, 256, 426250, R
15375000, 120760384, 00000111001100101010100001000000, 0, 14741, 264, 383750, R
15422500, 120760448, 00000111001100101010100010000000, 0, 14741, 272, 341250, R
15470000, 120760512, 00000111001100101010100011000000, 0, 14741, 280, 298750, R
15517500, 120760576, 00000111001100101010100100000000, 0, 14741, 288, 256250, R
15565000, 120760640, 00000111001100101010100101000000, 0, 14741, 296, 213750, R
15612500, 120760704, 00000111001100101010100110000000, 0, 14741, 304, 171250, R
15660000, 120760768, 00000111001100101010100111000000, 0, 14741, 312, 128750, R
15707500, 120760832, 00000111001100101010101000000000, 0, 14741, 320, 86250, R
15755000, 120760896, 00000111001100101010101001000000, 0, 14741, 328, 43750, R
15760000, 120760960, 00000111001100101010101010000000, 0, 14741, 336, 43750, R
15765000, 120761024, 00000111001100101010101011000000, 0, 14741, 344, 43750, R
15770000, 120761088, 00000111001100101010101100000000, 0, 14741, 352, 43750, R
