time,address,binaryaddress,bank,row,column,delay,command
8710000, 111182528, 00000110101000001000001011000000, 0, 13572, 88, 426250, R
8757500, 40269120, 00000010011001100111010101000000, 0, 4915, 680, 426250, R
8805000, 101266048, 00000110000010010011001010000000, 0, 12361, 592, 426250, R
8852500, 80891968, 00000100110100100101000001000000, 0, 9874, 520, 426250, R
8900000, 8264192, 00000000011111100001101000000000, 0, 1008, 832, 426250, R
8947500, 79933632, 00000100110000111011000011000000, 0, 9757, 536, 426250, R
8995000, 66485696, 00000011111101100111110111000000, 0, 8115, 952, 426250, R
9042500, 28516992, 00000001101100110010001010000000, 0, 3481, 80, 426250, R
9090000, 39275904, 00000010010101110100110110000000, 0, 4794, 432, 426250, R
9137500, 124150336, 00000111011001100110001001000000, 0, 15155, 72, 426250, R
9185000, 90207488, 00000101011000000111010100000000, 0, 11011, 672, 426250, R
9232500, 41363968, 00000010011101110010101000000000, 0, 5049, 320, 426250, R
9280000, 117024960, 00000110111110011010100011000000, 0, 14285, 280, 426250, R
9327500, 50298688, 00000010111111110111111101000000, 0, 6139, 1000, 426250, R
9375000, 38649216, 00000010010011011011110110000000, 0, 4717, 944, 426250, R
